club_name,avg_overall,n_players
CFR Cluj,67.89285714285714,28
Santa Clara,67.88888888888889,27
Clube Sport Marítimo,67.83333333333333,30
Real Zaragoza,67.83333333333333,30
FC Utrecht,67.82142857142857,28
Portimonense SC,67.8,30
Preston North End,67.8,30
US Salernitana 1919,67.77777777777777,27
Club Nacional de Football,67.77272727272727,22
AC Monza,67.75,28
Club Atlético Lanús,67.75,28
FC Basel 1893,67.75,28
Parma,67.75,28
Club Atlas,67.75,24
İttifak Holding Konyaspor,67.75,24
SD Huesca,67.73333333333333,30
Estoril Praia,67.70370370370371,27
FC Lorient,67.6923076923077,26
Newell's Old Boys,67.64285714285714,28
Moreirense FC,67.62962962962963,27
Hamburger SV,67.61538461538461,26
Venezia FC,67.54545454545455,33
Aytemiz Alanyaspor,67.53571428571429,28
Club Atlético Talleres,67.53571428571429,28
Standard de Liège,67.53571428571429,28
Göztepe SK,67.48148148148148,27
Çaykur Rizespor,67.44444444444444,27
Orlando Pirates,67.39285714285714,28
FC Paços de Ferreira,67.37931034482759,29
Al Hilal,67.36666666666666,30
West Bromwich Albion,67.36666666666666,30
Barcelona Sporting Club,67.34615384615384,26
Junior FC,67.32142857142857,28
Unión de Santa Fe,67.32142857142857,28
Boavista FC,67.3076923076923,26
Atakaş Hatayspor,67.30434782608695,23
Real Oviedo,67.3,30
San Lorenzo de Almagro,67.28571428571429,28
SpVgg Greuther Fürth,67.28125,32
Columbus Crew,67.26666666666667,30
Club Deportivo Guadalajara,67.23333333333333,30
Holstein Kiel,67.21428571428571,28
LASK Linz,67.21428571428571,28
Unión Deportiva Las Palmas,67.2,30
Yukatel Kayserispor,67.2,30
Dijon FCO,67.18518518518519,27
Club Olimpia,67.17241379310344,29
Pachuca,67.14814814814815,27
Gimnasia y Esgrima La Plata,67.14285714285714,28
AFC Bournemouth,67.13333333333334,30
Futebol Clube de Famalicão,67.13333333333334,30
Gazişehir Gaziantep F.K.,67.13333333333334,30
FC Vizela,67.11538461538461,26
Clermont Foot 63,67.11111111111111,27
Rosario Central,67.10714285714286,28
Oud-Heverlee Leuven,67.03571428571429,28
Hannover 96,67.0,30
Estudiantes de La Plata,67.0,28
Godoy Cruz,67.0,28
Al Nassr,66.96666666666667,30
Fortuna Düsseldorf,66.96666666666667,30
Hajduk Split,66.96428571428571,28
Vitesse,66.96296296296296,27
SV Sandhausen,66.96,25
Fútbol Club Juárez,66.93333333333334,30
Kaizer Chiefs,66.92857142857143,28
1. FC Heidenheim 1846,66.92592592592592,27
CD Tondela,66.88461538461539,26
Nîmes Olympique,66.88,25
Reading,66.86666666666666,30
Club Atlético Aldosivi,66.85714285714286,28
Jeonbuk Hyundai Motors,66.85714285714286,28
F.C. København,66.84615384615384,26
Atlético Tucumán,66.82142857142857,28
SK Rapid Wien,66.75,28
Altay SK,66.72413793103448,29
FC Cartagena,66.72413793103448,29
FC Arouca,66.71428571428571,28
SD Ponferradina,66.70370370370371,27
Stoke City,66.66666666666667,30
Rosenborg BK,66.58333333333333,24
Blackburn Rovers,66.53333333333333,30
Millwall,66.48148148148148,27
Deportivo Toluca,66.46666666666667,30
FCSB (Steaua),66.46428571428571,28
New England Revolution,66.44444444444444,27
Kasimpaşa SK,66.38461538461539,26
Seattle Sounders FC,66.28571428571429,28
SSV Jahn Regensburg,66.26923076923077,26
Malmö FF,66.25,28
Benevento,66.25,24
Coventry City,66.23333333333333,30
Minnesota United FC,66.23076923076923,26
Yokohama F. Marinos,66.22222222222223,27
Club Atlético Banfield,66.21428571428571,28
Legia Warszawa,66.17857142857143,28
FC St. Pauli,66.16666666666667,30
Lech Poznań,66.14285714285714,28
Sint-Truidense VV,66.14285714285714,28
Universitatea Craiova,66.14285714285714,28
Sparta Rotterdam,66.1304347826087,23
Inter Miami CF,66.10714285714286,28
Club Necaxa,66.07692307692308,26
Club Atlético Huracán,66.07142857142857,28
New York Red Bulls,66.04,25
Philadelphia Union,66.03448275862068,29
Atlanta United,66.03333333333333,30
Belenenses SAD,66.03333333333333,30
Orlando City Soccer Club,66.0,30
Ipswich Town,66.0,28
UD Ibiza,65.96666666666667,30
CF Fuenlabrada,65.96551724137932,29
K Beerschot VA,65.96296296296296,27
GZT Giresunspor,65.96,25
Club Atlético Central Córdoba,65.92857142857143,28
Aarhus GF,65.92307692307692,26
Birmingham City,65.9,30
Ulsan Hyundai FC,65.89285714285714,28
Molde FK,65.88461538461539,26
Queens Park Rangers,65.86666666666666,30
FC Twente,65.85714285714286,28
KV Kortrijk,65.85185185185185,27
Middlesbrough,65.83333333333333,30
Gil Vicente FC,65.82758620689656,29
Cerezo Osaka,65.76666666666667,30
Willem II,65.76,25
D.C. United,65.73333333333333,30
Club Deportes Tolima,65.73076923076923,26
Arsenal de Sarandí,65.71428571428571,28
Huddersfield Town,65.7,30
1. FC Nürnberg,65.6896551724138,29
FC Tokyo,65.66666666666667,30
Kawasaki Frontale,65.66666666666667,30
SC Paderborn 07,65.66666666666667,30
FC Luzern,65.65384615384616,26
Patronato,65.64285714285714,28
KSV Cercle Brugge,65.60714285714286,28
Royal Charleroi S.C.,65.60714285714286,28
KV Mechelen,65.57142857142857,28
SV Zulte Waregem,65.57142857142857,28
Urawa Red Diamonds,65.57142857142857,28
KV Oostende,65.56521739130434,23
Burgos CF,65.55555555555556,27
LDU Quito,65.55555555555556,27
Shimizu S-Pulse,65.5,30
SC Heerenveen,65.5,28
Royale Union Saint-Gilloise,65.45833333333333,24
Sheffield Wednesday,65.44444444444444,27
Bristol City,65.43333333333334,30
Toronto FC,65.43333333333334,30
AD Alcorcón,65.42857142857143,28
SK Sturm Graz,65.42857142857143,28
FC Midtjylland,65.42307692307692,26
Yeni Malatyaspor,65.42307692307692,26
FC Ingolstadt 04,65.4,30
SV Darmstadt 98,65.4,30
Platense,65.39285714285714,28
KAS Eupen,65.38461538461539,26
New York City FC,65.37037037037037,27
Real Sociedad B,65.32,25
N.E.C. Nijmegen,65.3076923076923,26
Gamba Osaka,65.3,30
Lecce,65.28571428571429,28
Mazatlán Futbol Club,65.28,25
Derby County,65.26666666666667,30
Club Cerro Porteño,65.25925925925925,27
F.C. Hansa Rostock,65.25925925925925,27
Club Atlético Peñarol,65.25,24
Club Universidad Nacional,65.24137931034483,29
Toulouse Football Club,65.20833333333333,24
APOEL Nicosia FC,65.17857142857143,28
Valenciennes FC,65.14285714285714,28
Atlético Nacional,65.08695652173913,23
Paris FC,65.08,25
CD Lugo,65.06896551724138,29
Universidad Católica,65.06666666666666,30
Rotherham United,65.04347826086956,23
FC Sion,65.0,28
Pogoń Szczecin,65.0,27
Club Sporting Cristal,65.0,26
Aalborg BK,65.0,24
AC Ajaccio,65.0,23
Al Shabab,64.96666666666667,30
Vissel Kobe,64.96666666666667,30
CS Emelec,64.96153846153847,26
